$PROTNR$;$PROCOD$;$PROTYP$;$PRONAM$;$PROEAN$;$PROKDS$;$PROLDS$;$PROLIF$;$PROMMG$;$PROSTA$;$PROBEH$;$PROVEP$;$PROPEH$;$PROIEH$;$PROLZE$;$PROWFL$;$PROLIK$;$PROOPR$;$PROMPR$;$PROVVA$;$PROKRE$;$PROZOL$;$PRONEX$;$PROONL$;$PROOST$;$PROKEY$;$PROODE$;$PROSEQ$
$100080$;$100080$;$Ersatzteil$;$Spannmutter, M 14$;$4030293000469$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;3.35;0.0;$$;$$;$73181610$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$100102$;$100102$;$Ersatzteil$;$Einmaulschlüssel, SW 14$;$4030293000506$;$NR.1458, ÄHNL.DIN894,JEDOCH 180MM LANG, KOPFSTÄRKE 5,5-0,5MM,VERZINKT,NR.9514585$;$$;$$;0;0;0;0;0;$$;0;0;$$;2.2;0.0;$$;$$;$82041100$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$100110$;$100110$;$Ersatzteil$;$Stirnlochschlüssel, BL 5$;$4030293000537$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;3.25;0.0;$$;$$;$82041100$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$100196$;$100196$;$Ersatzteil$;$Scheibe, Zahn-, J 4,3$;$4030293000544$;$verzinkt$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.3;0.0;$$;$$;$73182200$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$100277$;$100277$;$Ersatzteil$;$Ring, Dichtungs- 6001J$;$4030293000551$;$VS-01,MIT EINER VORSPANNUNG VON O,02 - 0,05$;$$;$$;0;0;0;0;0;$$;0;0;$$;1.0;0.0;$$;$$;$73269095$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$100366$;$100366$;$Ersatzteil$;$Kegelrad         ZL 108      #$;$4030293000605$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;19.9;0.0;$$;$$;$84839020$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$100463$;$100463$;$Ersatzteil$;$Ritzel   MZ 0,8  x 11 ZL108  #$;$4030293000629$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;33.7;0.0;$$;$$;$84839089$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$100471$;$100471$;$Ersatzteil$;$Ring, Dichtungs- 6000A$;$4030293000636$;$2 E 8 AVH d=10 v=+0,05 bis + 0,08$;$$;$$;0;0;0;0;0;$$;0;0;$$;1.45;0.0;$$;$$;$73269095$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$100811$;$100811$;$Ersatzteil$;$Verbinder$;$4030293000704$;$AMP.NR. 41765$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.35;0.0;$$;$$;$85369010$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$101176$;$101176$;$Ersatzteil$;$Kondensator                  #$;$4030293000711$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;5.0;0.0;$$;$$;$85322500$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$101516$;$101516$;$Ersatzteil$;$Schlüssel, Einmaul-,      SW13$;$4030293000735$;$DIN 894$;$$;$$;0;0;0;0;0;$$;0;0;$$;3.25;0.0;$$;$$;$82041100$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$101532$;$101532$;$Ersatzteil$;$Gehäuse, Kopfstück-$;$4030293000759$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;31.9;0.0;$$;$$;$84679900$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$101583$;$101583$;$Ersatzteil$;$Lager, Kugel-DIN625 6002-2RSL$;$4030293000766$;$LTH23FETTUNG (REDUZIERTE FETTMENGE)     MULTEMP SRL FETT 6002-2RSL/LHT23$;$$;$$;0;0;0;0;0;$$;0;0;$$;6.55;0.0;$$;$$;$84821010$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$101591$;$101591$;$Ersatzteil$;$Ring, Sicherungs- DIN 471 15X1$;$4030293000773$;$Hydrostress-Nr.: 02S1-01510-50$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.3;0.0;$$;$$;$73182100$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$101605$;$101605$;$Ersatzteil$;$Schraube, DIN  912  M  4x 12$;$4030293000780$;$QUAL. 8.8$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.35;0.0;$$;$$;$73181569$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$101788$;$101788$;$Ersatzteil$;$Scheibe  DIN  125 B 5,3 verz.$;$4030293000803$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.3;0.0;$$;$$;$73182200$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$101869$;$101869$;$Ersatzteil$;$Schraube, DIN  912  M  4x 16$;$4030293000841$;$QUAL.8.8$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.3;0.0;$$;$$;$73181569$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$101958$;$101958$;$Ersatzteil$;$Verbindungsteil$;$4030293000865$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;31.3;0.0;$$;$$;$84662098$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$102091$;$102091$;$Ersatzteil$;$Ring, Sicherungs- DIN 471 12X1$;$4030293000889$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.35;0.0;$$;$$;$73182900$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$102105$;$102105$;$Ersatzteil$;$Ring, Sicher.- DIN 472 28X1,2$;$4030293000896$;$IHRE NR. 130525$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.3;0.0;$$;$$;$73182900$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$102180$;$102180$;$Ersatzteil$;$Ritzel MZ 0,75x6         ZS104$;$4030293000902$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;22.2;0.0;$$;$$;$84839020$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$102229$;$102229$;$Ersatzteil$;$Innensechskantschlüssel, SW 4$;$4030293000926$;$DIN 911$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.65;0.0;$$;$$;$82041100$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$102792$;$102792$;$Ersatzteil$;$Kohle K 8 5x8x22 L43 F13$;$4030293001008$;$22 MM LANG,QUAL. L43F13$;$$;$$;0;0;0;0;0;$$;0;0;$$;3.75;0.0;$$;$$;$85452000$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$102830$;$102830$;$Ersatzteil$;$Ring, Dichtungs- 6202J$;$4030293001015$;$VORSPANNUNG O,O5 - 0,O8$;$$;$$;0;0;0;0;0;$$;0;0;$$;1.0;0.0;$$;$$;$73269095$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$102881$;$102881$;$Ersatzteil$;$Welle, Getriebe- ZL 202#$;$4030293001053$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;20.2;0.0;$$;$$;$84831095$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$102970$;$102970$;$Ersatzteil$;$Ring, Sicherungs- DIN 471 9X1$;$4030293001091$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.3;0.0;$$;$$;$73182900$;$1$;$J$;$J$;$300$;$Nexmart$;10;
